system:index,TiempoViaje,Visibilidad,layer,.geo
0_47,16.536476815639293,6.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.21584274343152,19.242162575488646]}"
0_48,13.203350183709713,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-94.53221995868198,18.156460650995648]}"
0_49,2.9864248616524574,8.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-94.12479189542861,18.149508912453314]}"
0_50,8.238098525322284,15.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.2481444714627,19.22315788679886]}"
0_51,2.370130743803428,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.92578514035276,18.920875426385763]}"
0_52,3.670895481787262,23.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.94476753353727,18.940633703153583]}"
0_53,8.276481128464543,19.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.0529899161044,18.89872261235225]}"
0_54,3.4238528333587057,5.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.79278799233268,18.729432840858173]}"
0_55,24.15560038814583,33.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.23668458175533,18.734302179208534]}"
0_56,2.9613276600235388,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.13414755303135,18.363902491103]}"
0_57,5.649944237733811,26.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-95.83583369255582,18.815551459503375]}"
0_58,39.62558718433291,0.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.33401783954996,19.451446024331077]}"
0_59,3.8521098804314193,16.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-97.45738133154035,20.56921780360046]}"
0_60,0.5441827685417164,4.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.39555789318855,19.435000859645967]}"
0_61,12.454480751224374,2.0,Puntos de Hallazgo,"{""type"":""Point"",""coordinates"":[-96.36476780041451,19.433154791809837]}"
